127.0.0.1 - - [14/Mar/2017:11:55:04 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/ HTTP/1.1" 200 10286
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_user/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_user/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_job/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_job/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_job/editController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_friend/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_friend/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_blog/blogservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_blog/blogcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_blog/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_blog/editController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_chat/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:11:55:05 +0530] "GET /FrontEndProject/_chat/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/ HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/stomp.js HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/app.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/c_user/UserController.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/c_home/HomeController.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/c_user/UserService.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/c_blog/BlogController.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/c_blog/BlogService.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/c_job/JobService.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/c_job/JobController.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/c_chat_forum/ChatForumController.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/c_chat_forum/ChatForumService.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/c_friend/FriendService.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:04:50 +0530] "GET /FrontEndProject/c_friend/FriendController.js HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/ HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/stomp.js HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/app.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/c_user/UserController.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/c_home/HomeController.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/c_blog/BlogController.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/c_job/JobController.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/c_blog/BlogService.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/c_user/UserService.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/c_chat_forum/ChatForumController.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/c_friend/FriendService.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/c_chat_forum/ChatForumService.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/c_job/JobService.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/c_friend/FriendController.js HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:15 +0530] "GET /FrontEndProject/stomp.js HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/app.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/c_home/HomeController.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/c_user/UserController.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/c_user/UserService.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/c_blog/BlogController.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/c_blog/BlogService.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/c_job/JobController.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/c_job/JobService.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/c_chat_forum/ChatForumController.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/c_chat_forum/ChatForumService.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/c_friend/FriendController.js HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /FrontEndProject/c_friend/FriendService.js HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:05:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/ HTTP/1.1" 200 8855
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_job/jobservice.js HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_user/userservice.js HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_user/usercontroller.js HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/js/app.js HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_job/jobcontroller.js HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_job/editController.js HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_friend/friendservice.js HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_friend/friendcontroller.js HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/2.jpg HTTP/1.1" 200 113374
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_blog/blogservice.js HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_blog/blogdetailcontroller.js HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_blog/blogcontroller.js HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_blog/editController.js HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_chat/chatservice.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:06:29 +0530] "GET /FrontEndProject/_chat/chatcontroller.js HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [14/Mar/2017:12:14:50 +0530] "GET /FrontEndProject/ HTTP/1.1" 200 8888
